accident_date,aircraft_type,registration,operator,fatalities,location,damage_type
1995-02-21,Beechcraft A100 King Air,C-GYQT,Bearskin Airlines,0,"4,8 km NW of Big Trout Airport, ON (YTL)",Write-Off
1995-02-21,Shin Meiwa US-1A,9080,Japan Maritime Self Defence Force - JMSDF,10,off Oki Island,Write-Off
1995-02-21,IAI 1124 Westwind,N66JE,Professional Jet Management,0,"Denver-Stapleton International Airport, CO (DEN)",Substantial
1995-02-26,Embraer EMB-120RT Brasilia,PT-OQI,Nordeste Linhas AÃ©reas Regionais,0,"Recife, PE",Substantial
1995-03-01,Mitsubishi Mu-300 Diamond IA,C-GLIG,Lignum Ltd.,0,"Jasper-Hinton Airport, AB (YJP)",Write-Off
1995-03-02,Cessna 208B Super Cargomaster,N9448B,Martinaire,0,"Ardmore, OK",Substantial
1995-03-03,IAI 1124A Westwind II,N311BR,Kennecott Corp,0,"Gillette-Campbell County Airport, WY (GCC)",Substantial
1995-03-03,Cessna 208B Grand Caravan,N227DM,DMC Flying Service,2,"1,2 km SSE of Gainesville-Lee Gilmer Memorial Airport, GA (GVL)",Write-Off
1995-03-04,Harbin Y-12-II,PNP-224,PolicÃ­a Nacional del PerÃº,0,"Bom Jesus, AC",Write-Off
1995-03-05,Beechcraft 1900C,N130UE,"United Express, opb Great Lakes Airlines",0,"Minneapolis-St. Paul International Airport, MN (MSP)",Substantial
1995-03-12,Lockheed L-1011 TriStar 500,N724DA,Delta Air Lines,0,San Juan-Luis MuÃ±oz MarÃ­n International Airport (SJU),Minor Damage
1995-03-12,Shorts 360-200,N376MQ,"American Eagle, opb Executive Airlines",0,San Juan-Luis MuÃ±oz MarÃ­n International Airport (SJU),Substantial
1995-03-12,Douglas C-47B-DK (DC-3),C-FDTT,Transfair,0,"Lac Manitou, QC",Substantial
1995-03-13,Lockheed L-188A Electra,9Q-CDG,Blue Airlines,0,Kinshasa-N'Djili Airport (FIH),Write-Off
1995-03-14,Antonov An-12B,RA-11337,Penza Air Enterprise,0,6 km from Baku,Write-Off
1995-03-16,de Havilland Canada DHC-6 Twin Otter 200,N37ST,Great Barrier Airlines (New Zealand),0,"325 km off Oahu Island, HI, USA",Write-Off
1995-03-16,Antonov An-26B,RA-26084,Central Region Airlines,9,8 km S of Ossora Airport,Write-Off
1995-03-16,Boeing 727-247 Adv.,N295WA,Delta Air Lines,0,"Alma, GA",None (No Damage)
1995-03-17,Boeing 737-260 Advanced,ET-AJB,Ethiopian Airlines,0,El Obeid Airport (EBD),None (No Damage)
1995-03-17,McDonnell Douglas DC-9-15,HK-3564X,Intercontinental de AviaciÃ³n,0,Barranquilla-Ernesto Cortissoz International Airport (BAQ),Write-Off
1995-03-18,Convair CV-440,N137CA,"Gulf & Caribbean Cargo, lsf Winemiller Aviation",0,Cap Haitien Airport (CAP),Write-Off
1995-03-20,Cessna 208B Grand Caravan,9M-PMN,Transmile Air Service,0,Tawau Airport (TWU),Write-Off
1995-03-22,Cessna 208B Super Cargomaster,N9417B,Union Flights,1,"Reno, NV",Write-Off
1995-03-23,Douglas DC-3C,C-GCXD,Aviation Boreal,0,"Lac Bondesir, QC",Write-Off
1995-03-25,Lockheed P-3C Orion,158217,United States Navy,0,8 km off Masirah Airport (MSH),Write-Off
1995-03-25,Antonov An-12,RA-13340,Amuraviatrans,0,Bunia Airport (BUX),Write-Off
1995-03-25,Beechcraft 1900C,N34010,GP Express Airlines,0,"Covington, KY",Substantial
1995-03-28,Fokker F-28 Fellowship 4000,PK-GQB,Merpati Nusantara Airlines,0,Bandung-Husein Sastranegara Airport (BDO),Substantial
1995-03-31,Airbus A310-324,YR-LCC,Tarom,60,3 km N of Bucharest-Otopeni International Airport (OTP),Write-Off
1995-04-01,Antonov An-2,,African Air Charter,1,near Kenema Airport (KEN),Write-Off
1995-04-02,McDonnell Douglas MD-11,N1768D,American Airlines,0,"New York-John F. Kennedy International Airport, NY (JFK/KJFK)",None (No Damage)
1995-04-04,Antonov An-26B,RA-26049,Central Region Airlines,0,Palana Airport,Write-Off
1995-04-04,Harbin Y-12-II,OB-1498/333,Transportes AÃ©reos Nacionales de la Selva - TANS,3,near Iquitos Airport (IQT),Write-Off
1995-04-06,Transall C-160NG,F-222/64-GV,L'ArmÃ©e de L'Air,0,near Occhiatana,Write-Off
1995-04-07,Hawker Siddeley HS-125-400,N41953,Jetcraft Corp.,0,Santo Domingo-Herrera Airport (HEX),Write-Off
1995-04-08,Boeing 747-2U3B,PK-GSE,Garuda Indonesia Airways,0,near London-Gatwick Airport (LGW),Minor Damage
1995-04-08,Convair CV-580,HK-3675,SEC Colombia,0,Espinal-Aguablanca Agricultural Airstrip,Write-Off
1995-04-11,Cessna 208A Caravan I,PT-OGO,Transportes AÃ©reos Meridionais - TAM,0,"LuziÃ¢nia Airport, GO",Write-Off
1995-04-11,Boeing 757-223,N683A,American Airlines,0,"San Antonio, TX",None (No Damage)
1995-04-12,Beechcraft 200 Super King Air,P2-IAH,Islands Nationair,0,Lae-Nadzab Airport (LAE),Substantial
1995-04-13,Boeing 737-4Y0,EI-CEU,MarkAir,0,"Denver International Airport, CO (DEN)",Substantial
1995-04-13,Aero Modifications AMI C-47TP (DC-3T),ZS-LYW,Wonderair,2,Kikwangala,Write-Off
1995-04-13,Yakovlev Yak-40K,UN-88181,Kazakhstan Airlines,0,Dzhambul Airport (DMB),Substantial
1995-04-13,Antonov An-2R,RA-40845,Cheboksary Aviation Enterprise,0,"Tyugalbuga, Novaya Malykla district",Write-Off
1995-04-15,Tupolev Tu-134A-3,OB-1553,Imperial Air,0,Lima-J Chavez International Airport (LIM),Write-Off
1995-04-17,Douglas C-54G-5-DO (DC-4),N898AL,Brooks Air Fuel,0,"Kivalina Airport, AK (KVL)",Write-Off
1995-04-17,Learjet C-21A (Learjet 35A),84-0136,United States Air Force - USAF,8,"6,5 km E of Alexander City Airport, AL",Write-Off
1995-04-19,Antonov An-2R,SP-WNY,Zakladu Uslug Agrolotniczych - ZUA,,Qom,Write-Off
1995-04-19,McDonnell Douglas MD-82,N83872,Continental Airlines,0,"Utopia, TX",None (No Damage)
1995-04-21,Boeing 747-2F6B,N742PR,Philippine Air Lines,0,"15km SE of Sydney-Kingsford Smith International Airport, NSW (SYD)",Substantial
1995-04-21,CASA C-212 Aviocar 200,EB-50,EjÃ©rcito Boliviano,7,near Apolo,Write-Off
1995-04-21,Fokker F-28 Fellowship 4000,PH-CHF,KLM Cityhopper,0,Birmingham Airport (BHX/EGBB),None (No Damage)
1995-04-22,Fokker 50,TF-FIR,Icelandair FlugfÃ©lag Islands,0,near HÃºsavÃ­k Airport,None (No Damage)
1995-04-23,Fokker F-27 Friendship 200MP,NAF908,Federal Nigerian Air Force,0+1,Lagos-Murtala Muhammed Airport (LOS),Write-Off
1995-04-23,de Havilland Canada DHC-6 Twin Otter 300,5N-AJQ,Bristow Helicopters Nigeria (BHN),1,Lagos-Murtala Muhammed Airport (LOS),Write-Off
1995-04-24,Canadair CC-144A Challenger 601,144613,Canadian Armed Forces,0,"Halifax-Canadian Forces Base Shearwater, NS (YAW)",Write-Off
1995-04-24,Cessna 501 Citation I/SP,N120ES,TACA International Airlines,0,"0,4 km from San Salvador-Comalapa International Airport (SAL)",Write-Off
1995-04-26,Cessna 550Â Citation II,N7RC,Ring Can Corp.,0,Walkers Cay Airport (WKR),Write-Off
1995-04-27,McDonnell Douglas DC-9-83 (MD-83),G-DEVR,Airtours International,0,Manchester International Airport (MAN),Substantial
