acc. date,type,reg.,operator,fat.,location,Unnamed: 6,dmg,Unnamed: 8,Unnamed: 9
20 Jun 2002,Cessna 208B Grand Caravan,N786DM,Isla Nena Air Services,0,Vieques Airport (VQS),,sub,,
23 Jun 2002,de Havilland Canada DHC-3 Otter,C-GGON,Whiteshell Air Service,0,"George Lake, MB",,sub,,
24 Jun 2002,Boeing 717-2K9,SX-BOA,Olympic Aviation,0,Stuttgart-Echterdingen Airport (STR),,sub,,
26 Jun 2002,Boeing 767-281,JA8254,All Nippon Airways - ANA,0,Shimojishima Airport (SHI),,w/o,,
27 Jun 2002,Antonov An-2R,RA-84639,Kostromskoye Avia Enterprise,0,"near Dubovoye, Lipetsk Oblast",,w/o,,
30 Jun 2002,de Havilland Canada DHC-3 Otter,C-GUTQ,Air Saguenay,0,"Lac Cojibo, QC",,w/o,,
1 Jul 2002,Canadair CL-215-6B11 (CL-415),C-GOGZ,Province of Ontario,0,"Pickle Lake Airport, ON (YPL)",,min,,
1 Jul 2002,Boeing 757-23APF,A9C-DHL,DHL Aviation,2+69,Ãberlingen,,w/o,,
1 Jul 2002,Tupolev Tu-154M,RA-85816,Bashkirskie Avialinii,69+2,Ãberlingen,,w/o,,
2 Jul 2002,McDonnell Douglas MD-88,N911DL,Delta Air Lines,0,"Houston-William P. Hobby Airport, TX (HOU/KHOU)",,sub,,
4 Jul 2002,Boeing 707-123B,9XR-IS,New Gomair,28,Bangui,,w/o,,
8 Jul 2002,British Aerospace 4101 Jetstream 41,N310UE,"United Express, opb Atlantic Coast Airlines",0,"Pittsburgh International Airport, PA (PIT)",,w/o,,
8 Jul 2002,McDonnell Douglas MD-83,B-28023,Far Eastern Air Transport Â· FEAT,0,Magong Airport (MZG/RCQC),,sub,,
10 Jul 2002,Saab 2000,HB-IZY,Swiss International Air Lines,0,Werneuchen,,sub,,
13 Jul 2002,de Havilland Canada DHC-6 Twin Otter 300,N885EA,Era Aviation,0,"Toksook Bay, Alaska",,sub,,
13 Jul 2002,Antonov An-24RV,RA-46670,Sakha Avia,0,Yakutsk Airport (YKS),,sub,,
14 Jul 2002,Cessna 208B Grand Caravan,N1032G,Sunrise Airlines,0,"Phoenix-Deer Valley Airport, AZ (DVT)",,sub,,
16 Jul 2002,IRMA/Britten-Norman BN-2A-6 Islander,PK-TAR,"Sabang Merauke Raya Air Charter, lsf Borneo Air Transport",9,8 km from Long Bawan Airport (LBW),,w/o,,
16 Jul 2002,Tupolev Tu-134A,RA-65605,Kras Air,0,Irkutsk Airport (IKT),,sub,,
16 Jul 2002,Swearingen SA226-TC Metro II,VH-MMY,Hardy Aviation,0,"Darwin Airport, NT (DRW)",,w/o,,
17 Jul 2002,de Havilland Canada DHC-6 Twin Otter 300,9N-AGF,Skyline Airways,4,10 km N of Surkhet Airport (SKH),,w/o,,
18 Jul 2002,Consolidated PB4Y-2 Super Privateer,N7620C,Hawkins & Powers Aviation,2,"10 km SW of Estes Park, CO",,w/o,,
21 Jul 2002,Saab 340A,N110XJ,Mesaba Airlines,0,"Charleston-Yeager Airport, WV (KCRW)",,sub,,
25 Jul 2002,de Havilland Canada DHC-5D Buffalo,,Kenya Air Force - KAF,0,Mugumo Coffee Farm,,w/o,,
26 Jul 2002,Antonov An-26,9Q-CMC,Africa One,0,Kinshasa-N'Djili Airport (FIH),,w/o,,
26 Jul 2002,Boeing 727-232F,N497FE,FedEx Express,0,"Tallahassee Municipal Airport, FL (TLH)",,w/o,,
27 Jul 2002,Ilyushin Il-76MD,UR-76717,Lvovskie avialinii,0,Lviv-Snilow Airport (LWO),,sub,,
28 Jul 2002,Ilyushin Il-86,RA-86060,Pulkovo Aviation Enterprise,14,"1,1 km N of Moskva-Sheremetyevo Airport (SVO)",,w/o,,
1 Aug 2002,Boeing 727-231,C-GSHI,Skyservice Airlines,0,"Toronto-Pearson International Airport, ON (YYZ/CYYZ)",,sub,,
2 Aug 2002,Cessna 208 Caravan I,F-OHLG,Aviation Sans FrontiÃ¨res,0,Pimu Airstrip,,w/o,,
5 Aug 2002,Boeing 777-223ER,N759AN,American Airlines,0,"Buenos Aires/Ezeiza Airport, BA (SAEZ)",,min,,
5 Aug 2002,Fairchild FH-227B,LV-MGV,CATA Linea AÃ©rea,0,"Buenos Aires/Ezeiza Airport, BA (SAEZ)",,sub,,
7 Aug 2002,Lockheed MC-130H Combat Talon II,90-0161,United States Air Force - USAF,10,near Caguas,,w/o,,
7 Aug 2002,Xian MA-60,B-3432,Wuhan Airlines,0,Yichang Sanxia Airport (YIH),,sub,,
8 Aug 2002,Antonov An-2R,RA-33322,Eisk-avia,2,"near Sladkiy Liman, Kanev district, Krasnodar region",,w/o,,
8 Aug 2002,Lockheed L-1011 TriStar 250,9Q-CHA,Hewa Bora Airways,0,Kinshasa-N'Djili Airport (FIH),,w/o,,
10 Aug 2002,Cessna 500 Citation I,N688CF,Explosive Professional Inc.,0,"Sandusky, Ohio",,sub,,
11 Aug 2002,Boeing 747-256,EC-DNP,Iberia,0,"New York-John F. Kennedy International Airport, NY (JFK/KJFK)",,min,,
13 Aug 2002,Reims Cessna F406 Caravan II,5H-TZC,Tanzanair - Tanzania Air Services,0,Muyowasi-Murungu Airstrip,,sub,,
13 Aug 2002,Embraer EMB-120RT Brasilia,PT-WGE,Rico Linhas AÃ©reas,0,"Manaus-Eduardo Gomes International Airport, AM (MAO)",,sub,,
13 Aug 2002,Antonov An-2,,Unknown,0,Vagai,,w/o,,
13 Aug 2002,Cessna S550 Citation S/II,N50BK,Corporate Flight International,0,"Big Bear City Airport, CA (RBF)",,w/o,,
15 Aug 2002,Antonov An-12BK,4R-AIA,Intercity Airways,0,Karachi-Quaid-E-Azam International Airport (KHI),,sub,,
15 Aug 2002,Shaanxi Y-8,CR873,Sri Lanka Air Force,5,Kalutara,,w/o,,
17 Aug 2002,Boeing 737-36Q,D-ADIA,DBA,0,en route,,non,,
18 Aug 2002,Learjet 35A,EC-GXX,Sky Service Aviation,0,Olbia-Costa Smeralda Airport (OLB),,w/o,,
19 Aug 2002,de Havilland Canada DHC-6 Twin Otter 300,9N-ABQ,Royal Nepal Airlines,0,Nepalganj Airport (KEP),,min,,
22 Aug 2002,de Havilland Canada DHC-6 Twin Otter 300,9N-AFR,Shangri-La Air,18,5 km SE of Pokhara,,w/o,,
28 Aug 2002,Airbus A320-231,N635AW,America West Airlines,0,"Phoenix-Sky Harbor International Airport, AZ (PHX)",,sub,,
28 Aug 2002,Douglas C-54E (DC-4),C-GQIC,Buffalo Airways,0,"Diavik Airport, NT (DVK)",,w/o,,
29 Aug 2002,Antonov An-28,RA-28932,Vostok Aviakompania,16,"4,8 km SW of Ayan",,w/o,,
30 Aug 2002,Learjet 25C,N45CP,Care Flight International,1,"Lexington-Blue Grass Airport, KY (LEX)",,w/o,,
30 Aug 2002,Fokker 100,PT-MRL,TAM Linhas AÃ©reas,0,"SÃ£o Paulo-Viracopos Airport, SP (VCP)",,sub,,
30 Aug 2002,Fokker 100,PT-MQH,TAM Linhas AÃ©reas,0,"Birigui, SP",,w/o,,
30 Aug 2002,Embraer EMB-120ER Brasilia,PT-WRQ,Rico Linhas AÃ©reas,23,"1,5 km from Rio Branco-PlÃ¡cido de Castro International Airport, AC (RBR)",,w/o,,
2 Sep 2002,Cessna 650 Citation VI,B-7023,CAAC Air Traffic Management Bureau,3,15 km from Xichang,,w/o,,
3 Sep 2002,de Havilland Canada DHC-6 Twin Otter 300,PK-YPQ,Trigana Air Service,0,Silimo,,w/o,,
4 Sep 2002,de Havilland Canada DHC-3 Otter,N335AK,Alaska Juneau Aeronautics,0,"TENAKEE SPRINGS, Alaska",,sub,,
4 Sep 2002,de Havilland Canada DHC-7-102,RP-C2788,Asian Spirit,0,Manila-Ninoy Aquino International Airport (MNL),,w/o,,
7 Sep 2002,Fairchild SA227-AC Metro III,C6-SAW,Western Air,0,Andros Town Airport (ASD),,w/o,,
9 Sep 2002,Boeing 757-251,N534US,Northwest Airlines,0,"Baltimore/Washington International Airport, MD (BWI/KBWI)",,sub,,
9 Sep 2002,Antonov An-32B,9Q-CMD,Malift Air,0,Inongo Airport (INO),,w/o,,
9 Sep 2002,Boeing 737-7Q8,S7-SEZ,Air Seychelles,0,Mahe Island-Seychelles International Airport (SEZ),,non,,
14 Sep 2002,Antonov An-2,RA-56888,ROSTO Krasnoyarsk,13,"2,5 km from Shalinskoye",,w/o,,
14 Sep 2002,ATR 42-312,PT-MTS,TOTAL Linhas AÃ©reas,2,"38 km S of Paranapanema, SP",,w/o,,
14 Sep 2002,Canadair CRJ-100LR,D-ACLB,Lufthansa CityLine,0,MÃ¼nchen-Franz Josef Strauss Airport (MUC/EDDM),,sub,,
15 Sep 2002,Ilyushin Il-18V,RA-75423,IRS Aero,0,Moskva-Bykovo Airport (BKA),,sub,,
15 Sep 2002,Ilyushin Il-18V,EX-904,Phoenix Aviation,0,Nzagi Airport (NZA),,w/o,,
22 Sep 2002,McDonnell Douglas DC-9-32,N941N,Northwest Airlines,0,"Minneapolis-St. Paul International Airport, MN (MSP/KMSP)",,sub,,
27 Sep 2002,Boeing 767-381,JA8274,All Nippon Airways - ANA,0,16 nm SE of Kochi Airport,,non,,
28 Sep 2002,de Havilland Canada DHC-3T Vazar Turbine Otter,C-FLGA,Deraps Aviation,3,"105 km N of Natashquan, QC",,w/o,,
29 Sep 2002,Cessna 208B,N9347B,Boston-providence Skydiving Center,0,"Pawtucket, Rhode Island",,non,,
29 Sep 2002,Cessna 551 Citation II/SP,D-IEAR,Rieker Air Service,0,"Basel, Switzerland/Mulhouse-EuroAirport Swiss (BSL)",,sub,,
29 Sep 2002,Fairchild SA227-AC Metro III,N343AE,Skylink Charter,0,"Hawthorne Airport, CA (HHR)",,sub,,
29 Sep 2002,Cessna 551 Citation II/SP,,,0,Stuttgart-Echterdingen Airport (STR/EDDS),,sub,,
30 Sep 2002,Antonov An-2,RA-62587,Bodaibo Air Enterprise,0,68 km from Bodaybo,,w/o,,
1 Oct 2002,Ilyushin Il-38,IN-304,Indian Naval Air Arm,6+6,near Goa-Dabolim Airport (GOI),,w/o,,
1 Oct 2002,Ilyushin Il-38,IN-302,Indian Naval Air Arm,6+9,near Goa-Dabolim Airport (GOI),,w/o,,
7 Oct 2002,Learjet 60,N5027Q,"American Virginia, lsf Dwiggins LLC",1,"Santa Cruz do Sul Airport, RS (CSU)",,w/o,,
7 Oct 2002,Cessna 525A CitationJet CJ2,N57EJ,Exec-Jet,0,"Dexter Regional Airport, ME",,sub,,
14 Oct 2002,de Havilland Canada DHC-8-102,N847EX,Allegheny Airlines,0,"Albany Airport, NY (ALB/KALB)",,sub,,
15 Oct 2002,Avro RJ85,N528XJ,"Northwest Airlink, opb Mesaba Airlines",0,"Memphis International Airport, TN (MEM)",,w/o,,
15 Oct 2002,Airbus A300B4-620,HZ-AJ.,Saudi Arabian Airlines,0,Khartoum,,non,,
16 Oct 2002,Dornier 228-200,D-IKBA,LGW Luftfahrtgesellschaft Walter,0,near Paderborn-Lippstadt,,sub,,
16 Oct 2002,Boeing 747-267B,TF-ATD,Air Atlanta Icelandic,0,Teesside International Airport (MME),,min,,
17 Oct 2002,Cessna 208B Grand Caravan,PT-MES,Aero Express TÃ¡xi AÃ©reo,0,"Guarulhos, SP",,non,,
20 Oct 2002,Boeing 767-3Q8ER,TF-ARA,Southern Winds Lineas Aereas,0,"Buenos Aires/Ezeiza-Ministro Pistarini Airport, BA (EZE/SAEZ)",,min,,
21 Oct 2002,Boeing 747-446D,JA8903,Japan Air Lines,0,8 nm SE of Hamamatsu City,,non,,
23 Oct 2002,Cessna 208B Super Cargomaster,N76U,Mid-Atlantic Freight,1,"8 km NW of Spanish Fort, AL",,w/o,,
23 Oct 2002,Ilyushin Il-62M,RA-86452,Tretyakovo Air Transport Company,0,Bishkek Airport (FRU),,w/o,,
24 Oct 2002,Canadair CRJ-200ER,N681BR,"United Express, opb Atlantic Coast Airlines",0,"Chicago-O'Hare International Airport, IL (ORD/KORD)",,sub,,
25 Oct 2002,Beechcraft A100 King Air,N41BE,Aviation Charter,8,"3,3 km SE of Eveleth-Virginia Municipal Airport, MN (EVM)",,w/o,,
28 Oct 2002,Boeing 737 or 757,,Shanghai Airlines,0,Fuzhou Changle International Airport (FOC),,unk,,
29 Oct 2002,Curtiss C-46,N54514,Tatonduk Outfitters Ltd,0,"Fairbanks, Alaska",,sub,,
31 Oct 2002,McDonnell Douglas DC-9-32,XA-AMF,AeromÃ©xico,0,Monterrey-Gen Mariano Escobedo Airport (MTY),,w/o,,
2 Nov 2002,Fokker F-27 Friendship 500RF,G-ECAT,Euroceltic Airways,0,Sligo-Collooney Airport (SXL),,sub,,
3 Nov 2002,Douglas DC-3,N32TN,TransNorthern Aviation,0,"Port Alsworth, Alaska",,sub,,
5 Nov 2002,Hawker Siddeley HS-748-269 Srs 2A,C-FCSE,West Wind Aviation,0,"Saskatoon John G. Diefenbaker International Airport, SK (YXE/CYXE)",,sub,,
6 Nov 2002,Beechcraft C-12C Huron (A200 Super King Air),N145MJ,R & G Leasing,0,"Columbus-Port Columbus International Airport, OH (CMH)",,w/o,,
6 Nov 2002,Fokker 50,LX-LGB,Luxair,20,1 km NE of Niederanven,,w/o,,
6 Nov 2002,McDonnell Douglas MD-82,N479AA,American Airlines,0,"Orlando, FL",,non,,
7 Nov 2002,IRMA/Britten-Norman BN-2A-21 Islander,PK-VIZ,Dirgantara Air Service,7,"1,5 km from Juwata",,w/o,,
7 Nov 2002,Antonov An-12BK,4K-AZ21,Silk Way Airlines,0,Kome,,w/o,,
8 Nov 2002,IAI 1124A Westwind II,N61RS,Richmor Aviation,2,"near Taos, NM",,w/o,,
8 Nov 2002,Cessna 208B Grand Caravan,N514DB,Brown County Financial Services,4,"4,8 km S of Parks, AZ",,w/o,,
9 Nov 2002,Antonov An-26B,RA-26012,Tyumenaviatrans,0,"1,3 km from Antalya Airport (AYT)",,w/o,,
11 Nov 2002,Fokker F-27 Friendship 600,RP-C6888,Laoag International Airline,19,off Manila-Ninoy Aquino International Airport (MNL) [Manila Bay],,w/o,,
12 Nov 2002,Boeing 737,,Gol Linhas AÃ©reas,0,"BrasÃ­lia-Kubitschek International Airport, DF (BSB)",,non,,
12 Nov 2002,Cessna 550 Citation II,C-GYCJ,Canada JetÂ Charters,0,"Sandspit Airport, BC (YZP)",,w/o,,
17 Nov 2002,Boeing 757-258ER,4X-EBS,El Al Israel Airlines,0,Istanbul-AtatÃ¼rk International Airport (IST),,non,,
19 Nov 2002,Boeing 727-230F,OO-DHY,DHL European Air Transport,0,East Midlands Airport (EMA/EGNX),,sub,,
22 Nov 2002,Swearingen SA227-AC Metro III,N227FA,Lynx Air International,0,"Fort Lauderdale International Airport, FL (FLL/KFLL)",,min,,
27 Nov 2002,McDonnell Douglas MD-82,,Alitalia,0,Lyon Satolas Airport (LYS),,non,,
28 Nov 2002,Boeing 757-3E7,4X-BAW,Arkia,0,near Mombasa-Moi International Airport (MBA),,non,,
28 Nov 2002,Let L-410UVP-E20,5Y-ONT,Eagle Aviation,1,1 km from Ol Kiombo Airstrip,,w/o,,
28 Nov 2002,Airbus A320-211,N324US,Northwest Airlines,0,"Minneapolis-St. Paul International Airport, MN (MSP/KMSP)",,non,,
1 Dec 2002,Cessna 500 Citation I,PT-LIY,American Virginia,0,"MarÃ­lia, SP",,w/o,,
3 Dec 2002,Learjet 36A,N546PA,"Phoenix Air, lsf CFF Air",0,"Astoria Airport, OR (AST)",,w/o,,
6 Dec 2002,Embraer EMB-110P Bandeirante,CU-T1110,Aerotaxi,0,W of Havana-JosÃ© MartÃ­ International Airport (HAV),,w/o,,
7 Dec 2002,de Havilland Canada DHC-8-402Q Dash 8,B-3567,Changan Airlines,0,Xian-Xianyang Airport (XIY),,w/o,,
8 Dec 2002,Shorts 330-200,N76NF,Freedom Air,0,Guam-A.B. Won Pat International Airport (GUM),,w/o,,
8 Dec 2002,Shorts 330-200,N51AN,Freedom Air,0,Guam-A.B. Won Pat International Airport (GUM),,w/o,,
8 Dec 2002,Boeing 767-219ER,ZK-NBC,Air New Zealand,0,"30 km ESE of Brisbane, QLD",,sub,,
8 Dec 2002,Ilyushin Il-76TD,RA-76758,Volga-Dnepr Airlines,0,Guam-A.B. Won Pat International Airport (GUM),,w/o,,
9 Dec 2002,Beechcraft 1900C,N127YV,Raytheon Aircraft,3,"14,5 km N of Mena, AR",,w/o,,
9 Dec 2002,Boeing 737-31S,D-ADBQ,DBA,0,KÃ¶ln-Bonn (CGN),,sub,,
12 Dec 2002,British Aerospace BAe-146-200,G-JEAX,Flybe,0,near Birmingham,,non,,
12 Dec 2002,Airbus A300B4-203 (F),OO-DLT,"DHL Aviation, opb European Air Transport",0+1,Lisboa-Humberto Delgado Airport (LIS/LPPT),,unk,,
13 Dec 2002,Britten-Norman BN-2A-26 Islander,P2-CBB,Island Airways Ltd.,8,near TepTep,,w/o,,
13 Dec 2002,McDonnell Douglas DC-8-62F,N1804,"Arrow Air, lsf Fine Air",0,Singapore-Changi Airport (SIN),,w/o,,
16 Dec 2002,Hawker Siddeley HS-125-1A-731,N55RF,National Aircraft Leasing,0,"Seattle-Boeing Field International Airport, WA (BFI)",,w/o,,
17 Dec 2002,Cessna 208B Super Cargomaster,N277PM,Planemasters,1,"3,4 km SW of Rockford-Greater Rockford Airport, IL (RFD)",,w/o,,
17 Dec 2002,GAF Nomad N.22B,N22B-53,Hukbong Himpapawid ng Pilipinas (Philippine Air Force),0,near Zamboanga,,w/o,,
21 Dec 2002,ATR 72-202,B-22708,TransAsia Airways,2,"17 km SW off Makung City, Penghu Islands",,w/o,,
23 Dec 2002,Antonov An-140,UR-14003,Aeromist Kharkiv,44,near Baghrabad,,w/o,,
24 Dec 2002,Fairchild SA227-AC Metro III,OY-BPH,North Flying,0,Aberdeen-Dyce Airport (ABZ),,w/o,,
25 Dec 2002,Boeing 727-173C,N704A,Express.net Airlines,0,"Lexington-Blue Grass Airport, KY (LEX)",,sub,,
25 Dec 2002,Cessna 208B Super Cargomaster,N1122Y,Telford Aviation,1,"2,4 km W off Manteo-Dare County Regional Airport, NC (MEO)",,sub,,
26 Dec 2002,Boeing 737-2M2,D2-TBD,TAAG Angola Airlines,0,24 km NW of Windhoek,,min,,
26 Dec 2002,Embraer C-95A Bandeirante (EMB-110K1),2292,ForÃ§a AÃ©rea Brasileira - FAB,3,"3,6 km from Curitiba-Afonso Pena Airport, PR (CWB)",,w/o,,
27 Dec 2002,Antonov An-26B,RA-26053,IrAero,0,Ust-Kuyga Airport (UKG),,w/o,,
27 Dec 2002,Cessna 208B Grand Caravan,V3-HGH,Tropic Air,0,off San Pedro Airport (SPR),,sub,,
27 Dec 2002,Let L-410UVP,9XR-RB,Ocean Airlines,1,near Anjouan,,w/o,,
28 Dec 2002,de Havilland Canada DHC-3 Otter,N3904,Grasshopper Aviation,0,"56 km E of Nikolai, AK",,sub,,
29 Dec 2002,IRMA/Britten-Norman BN-2A-7 Islander,HP-1016PS,PARSA,1,between Bocas del Toro and Panama City,,mis,,
unk. date 2002,Antonov An-12A,D2-FBV,Unknown,,Nzagi Airport (NZA),,w/o,,
unk. date 2002,Antonov An-32,K2746,Indian Air Force - IAF,,Tezpur Air Base (TEZ),,w/o,,
unk. date 2002,Embraer EMB-110P1 Bandeirante,9L-LBR,Inter Tropic Airlines (S/L) Ltd,0,Freetown-Hastings Airport (HGS),,w/o,,
unk. date 2002,Antonov An-26-100,5A-DOK,Sin Sad Airlines,0,Wadi Bu al Hashm,,w/o,,
4 Jan 2003,Cessna 525 CitationJet,PT-XJS,JS TÃ¡xi AÃ©reo,0,"SÃ£o Paulo-Congonhas Airport, SP (CGH)",,sub,,
6 Jan 2003,Embraer EMB-145LR (ERJ-145LR),N16571,"Continental Express, opb ExpressJet Airlines",0,"Cleveland-Hopkins International Airport, OH (CLE)",,sub,,
7 Jan 2003,Raytheon 390 Premier I,N390RB,Caribbean Aviation,0,Santo Domingo-Herrera Airport (HEX),,w/o,,
8 Jan 2003,de Havilland Canada DHC-8-401Q Dash 8,N409QX,Horizon Air,0,"near Medford, OR",,sub,,
8 Jan 2003,Avro RJ100,TC-THG,THY Turkish Airlines,75,"0,9 km S of Diyarbakir Airport (DIY)",,w/o,,
8 Jan 2003,Beechcraft 1900D,N233YV,"US Airways Express, opb Air Midwest",21,"Charlotte-Douglas International Airport, NC (CLT)",,w/o,,
9 Jan 2003,Fokker F-28 Fellowship 4000,PK-PJK,Pelita Air Service,0,Gorontalo-Jalaluddin Airport (GTO),,min,,
9 Jan 2003,de Havilland Canada DHC-3T Vazar Turbine Otter,C-FITF,Harbour Air,0,"Eden Lake, BC",,sub,,
9 Jan 2003,Fokker F-28 Fellowship 1000,OB-1396,Transportes AÃ©reos Nacionales de la Selva - TANS,46,near Chachapoyas,,w/o,,
14 Jan 2003,Britten-Norman BN-2A-26 Islander,HS-RON,Siam Air Sports,0,"1,5 km from Pattaya Airport (PYX)",,w/o,,
15 Jan 2003,Dassault Falcon 900,N11WM,Pistol Creek Financial Co.,0,west of HERZO intersection,,non,,
17 Jan 2003,British Aerospace 3101 Jetstream 31,CP-2404,Servicio AÃ©reo Vargas EspaÃ±a - SAVE,0,Yacuiba Airport (BYC),,sub,,
17 Jan 2003,Antonov An-24B,ER-AFT,"Aerocom, lsf Tiramavia",7,near NdjolÃ©,,w/o,,
17 Jan 2003,Fokker F-28 Fellowship 4000,HC-BMD,TAME Ecuador,0,Quito-Mariscal Sucre Airport (UIO),,w/o,,
17 Jan 2003,Fokker 50,PH-FZE,"Air Nostrum, lsf Denim Air",0,Melilla Airport (MLN),,w/o,,
17 Jan 2003,Beechcraft 1900C,C-GSKG,Skylink Express,0,"St. John's Airport, NL (YYT/CYYT)",,sub,,
18 Jan 2003,Embraer EMB-135LR (ERJ-135LR),N714BZ,American Eagle Airlines,0,"Columbus-Port Columbus International Airport, OH (CMH)",,w/o,,
19 Jan 2003,Boeing 737-8D6,,Air AlgÃ©rie,0,Algiers-Houari Boumediene Airport (ALG),,non,,
19 Jan 2003,Boeing 757-251,N550NW,Northwest Airlines,0,"New York-La Guardia Airport, NY (LGA)",,sub,,
19 Jan 2003,Airbus A319-114,N313NB,Northwest Airlines,0,"New York-La Guardia Airport, NY (LGA)",,w/o,,
20 Jan 2003,British Aerospace Jetstream 32EP,LV-ZST,Aerovip,0,"Buenos Aires-Jorge Newbery Airport, BA (AEP/SABE)",,min,,
21 Jan 2003,de Havilland Canada DHC-6 Twin Otter 200,N206EH,ERA Aviation,0,"Kipnuk Airport, AK (KPN)",,sub,,
23 Jan 2003,Boeing 737-2B7,PK-ALV,Star Air,0,Jakarta-Soekarno-Hatta International Airport (CGK),,sub,,
24 Jan 2003,Cessna 208B Super Cargomaster,N944FE,"Baron Aviation Services, opf FedEx",0,"San Angelo-Ducote Airpark, TX",,w/o,,
24 Jan 2003,Embraer EMB-145LR (ERJ-145LR),B-3043,Sichuan Airlines,0,near Chengdu,,non,,
24 Jan 2003,Grumman G-159 Gulfstream I,5Y-EMJ,African Commuter Services,3,Busia,,w/o,,
26 Jan 2003,Boeing 737-2M9,PP-SPJ,VASP - ViaÃ§Ã£o AÃ©rea SÃ£o Paulo,0,"Rio Branco-PlÃ¡cido de Castro International Airport, AC (RBR)",,w/o,,
27 Jan 2003,Cessna 550 Citation Bravo,CS-DHB,Net Jets Transportes Aereos,0,Aberdeen-Dyce Airport (ABZ),,sub,,
29 Jan 2003,Beechcraft B99 Airliner,C-GHVI,Bearskin Airlines,0,"3,5 km from Pikangikum, ON",,sub,,
30 Jan 2003,Cessna 208B Grand Caravan,N1276P,Grant Aviation,0,"Russian Mission, Alaska",,sub,,
31 Jan 2003,Ilyushin Il-76TD,RDPL-34141,Euro Asia Aviation,6,2 km NNW of Baucau-Cakung Airport (BCH),,w/o,,
1 Feb 2003,Boeing 737-4Q8,N764AS,Alaska Airlines,0,"Vancouver International Airport, BC (YVR)",,sub,,
2 Feb 2003,Boeing 757-2Z0,,Air China,0,Fuzhou Changle International Airport (FOC),,non,,
7 Feb 2003,Airbus A310-304,TC-JDA,THY Turkish Airlines,0,Istanbul-AtatÃ¼rk Airport (IST),,non,,
8 Feb 2003,ATR 72-212,N448AM,American Eagle Airlines,0,"San Juan, PR",,non,,
10 Feb 2003,Antonov An-28,ES-NOY,Enimex,2,Tallinn-Ulemiste Airport (TLL),,w/o,,
13 Feb 2003,Cessna 208B Grand Caravan,N1116G,One Leasing,0,near El Para,,w/o,,
14 Feb 2003,Britten-Norman BN-2A-21 Islander,B-03/OT-ALC,Belgische Luchtmacht,0,Brasschaat Air Base,,sub,,
19 Feb 2003,Dornier 228-201,AP-BGF,STAR Aviation,0,Karachi-Quaid-E-Azam International Airport (KHI),,sub,,
19 Feb 2003,Ilyushin Il-76MD,15-2280,Iranian Revolutionary Guard Corps Air Force - IRGCAF,275,35 km SE from Kerman,,w/o,,
20 Feb 2003,Fokker F-27 Friendship 200,10254,Pakistan Air Force,17,32 km E of Kohat,,w/o,,
25 Feb 2003,Boeing 777-223,N790AN,American Airlines,0,"Miami International Airport, FL (MIA/KMIA)",,non,,
27 Feb 2003,Fokker F-27 Friendship 500,ZK-NAN,"Airwork, NZ",0,Blenheim Woodbourne Air Station (BHE),,sub,,
27 Feb 2003,AÃ©rospatiale / BAC Concorde 101,F-BVFA,Air France,0,over Atlantic Ocean,,min,,
1 Mar 2003,Let L-410UVP,FLARF-01032,Borki Air Club,11,2 km from Borki,,w/o,,
1 Mar 2003,ATR 72-212,N642AS,Atlantic Southeast Airlines - ASA,0,"Atlanta, GA",,non,,
2 Mar 2003,Cessna 208B Grand Caravan,N205BA,Bering Air,0,"1,6 km W of Kotzebue Airport, AK (OTZ)",,sub,,
5 Mar 2003,Cessna 208B Grand Caravan,N9793B,Wright Stuff,0,"1.8 km S of Creswell, OR",,sub,,
6 Mar 2003,ATR 42-300,I-ATRF,"Minerva Airlines, lsf Air Industria",0,Roma-Fiumicino Airport (FCO),,sub,,
6 Mar 2003,Boeing 737-2T4,7T-VEZ,Air AlgÃ©rie,102,Tamanrasset Airport (TMR),,w/o,,
8 Mar 2003,Fokker F-27 Friendship 500RF,N712FE,"FedEx Express, opb Mountain Air Cargo",0,"Kinston Regional Jetport, NC (ISO)",,sub,,
10 Mar 2003,Aero Modifications AMI DC-3-65TP,ZS-MFY,"International Red Cross, lsf Rossair Contracts",0,Rumbek Airport (RBX),,sub,,
12 Mar 2003,Grumman C-2A Greyhound,162153,United States Navy,0,"Cherry Point MCAS, NC (NKT)",,w/o,,
12 Mar 2003,Boeing 737-2T4,B-2516,Xiamen Airlines,0,Ningbo Airport (NGB),,w/o,,
12 Mar 2003,Boeing 747-412,9V-SMT,Singapore Airlines,0,Auckland International Airport (AKL),,sub,,
15 Mar 2003,Antonov An-2R,LY-KAG,"Anuschka Club International, lsf Kaunas Aviation",0,St. Moritz-Samedan Airport (SMV),,sub,,
15 Mar 2003,Cessna 501 Citation I/SP,N70FJ,Dancing Wind Aviation,3,"28 km ESE of Carey, ID",,w/o,,
19 Mar 2003,Beechcraft 1900D,9G-AGF,Ashanti Gold Fields,0,Obuasi Airstrip,,sub,,
19 Mar 2003,Douglas DC-3C,CU-T1192,Aerotaxi,0,"Key West International Airport, FL (EYW)",,non,,
20 Mar 2003,Beechcraft 200 Super King Air,XC-ADP,ProcuradurÃ­a General de la RepÃºblica - PGR,0,Badiraguato Airport,,w/o,,
21 Mar 2003,Airbus A321-131,B-22603,TransAsia Airways,0,Tainan Airport (TNN),,sub,,
23 Mar 2003,Boeing 737-217 Advanced,C-GKCP,Zip,0,"Calgary International Airport (CYYC), Alberta",,min,,
