acc. date,type,reg.,operator,fat.,location,Unnamed: 6,dmg,Unnamed: 8,Unnamed: 9
15 Feb 1995,Cessna 525Â CitationJet,N63HB,M&M Air,0,"Wauchula, FL",,sub,,
16 Feb 1995,McDonnell Douglas DC-8-63F,N782AL,Air Transport International - ATI,3,"Kansas City International Airport, MO (MCI)",,w/o,,
21 Feb 1995,Beechcraft A100 King Air,C-GYQT,Bearskin Airlines,0,"4,8 km NW of Big Trout Airport, ON (YTL)",,w/o,,
21 Feb 1995,Shin Meiwa US-1A,9080,Japan Maritime Self Defence Force - JMSDF,10,off Oki Island,,w/o,,
21 Feb 1995,IAI 1124 Westwind,N66JE,Professional Jet Management,0,"Denver-Stapleton International Airport, CO (DEN)",,sub,,
26 Feb 1995,Embraer EMB-120RT Brasilia,PT-OQI,Nordeste Linhas AÃ©reas Regionais,0,"Recife, PE",,sub,,
1 Mar 1995,Mitsubishi Mu-300 Diamond IA,C-GLIG,Lignum Ltd.,0,"Jasper-Hinton Airport, AB (YJP)",,w/o,,
2 Mar 1995,Cessna 208B Super Cargomaster,N9448B,Martinaire,0,"Ardmore, OK",,sub,,
3 Mar 1995,IAI 1124A Westwind II,N311BR,Kennecott Corp,0,"Gillette-Campbell County Airport, WY (GCC)",,sub,,
3 Mar 1995,Cessna 208B Grand Caravan,N227DM,DMC Flying Service,2,"1,2 km SSE of Gainesville-Lee Gilmer Memorial Airport, GA (GVL)",,w/o,,
4 Mar 1995,Harbin Y-12-II,PNP-224,PolicÃ­a Nacional del PerÃº,0,"Bom Jesus, AC",,w/o,,
5 Mar 1995,Beechcraft 1900C,N130UE,"United Express, opb Great Lakes Airlines",0,"Minneapolis-St. Paul International Airport, MN (MSP)",,sub,,
12 Mar 1995,Lockheed L-1011 TriStar 500,N724DA,Delta Air Lines,0,San Juan-Luis MuÃ±oz MarÃ­n International Airport (SJU),,min,,
12 Mar 1995,Shorts 360-200,N376MQ,"American Eagle, opb Executive Airlines",0,San Juan-Luis MuÃ±oz MarÃ­n International Airport (SJU),,sub,,
12 Mar 1995,Douglas C-47B-DK (DC-3),C-FDTT,Transfair,0,"Lac Manitou, QC",,sub,,
13 Mar 1995,Lockheed L-188A Electra,9Q-CDG,Blue Airlines,0,Kinshasa-N'Djili Airport (FIH),,w/o,,
14 Mar 1995,Antonov An-12B,RA-11337,Penza Air Enterprise,0,6 km from Baku,,w/o,,
16 Mar 1995,de Havilland Canada DHC-6 Twin Otter 200,N37ST,Great Barrier Airlines (New Zealand),0,"325 km off Oahu Island, HI, USA",,w/o,,
16 Mar 1995,Antonov An-26B,RA-26084,Central Region Airlines,9,8 km S of Ossora Airport,,w/o,,
16 Mar 1995,Boeing 727-247 Adv.,N295WA,Delta Air Lines,0,"Alma, GA",,non,,
17 Mar 1995,Boeing 737-260 Advanced,ET-AJB,Ethiopian Airlines,0,El Obeid Airport (EBD),,non,,
17 Mar 1995,McDonnell Douglas DC-9-15,HK-3564X,Intercontinental de AviaciÃ³n,0,Barranquilla-Ernesto Cortissoz International Airport (BAQ),,w/o,,
18 Mar 1995,Convair CV-440,N137CA,"Gulf & Caribbean Cargo, lsf Winemiller Aviation",0,Cap Haitien Airport (CAP),,w/o,,
20 Mar 1995,Cessna 208B Grand Caravan,9M-PMN,Transmile Air Service,0,Tawau Airport (TWU),,w/o,,
22 Mar 1995,Cessna 208B Super Cargomaster,N9417B,Union Flights,1,"Reno, NV",,w/o,,
23 Mar 1995,Douglas DC-3C,C-GCXD,Aviation Boreal,0,"Lac Bondesir, QC",,w/o,,
25 Mar 1995,Lockheed P-3C Orion,158217,United States Navy,0,8 km off Masirah Airport (MSH),,w/o,,
25 Mar 1995,Antonov An-12,RA-13340,Amuraviatrans,0,Bunia Airport (BUX),,w/o,,
25 Mar 1995,Beechcraft 1900C,N34010,GP Express Airlines,0,"Covington, KY",,sub,,
28 Mar 1995,Fokker F-28 Fellowship 4000,PK-GQB,Merpati Nusantara Airlines,0,Bandung-Husein Sastranegara Airport (BDO),,sub,,
31 Mar 1995,Airbus A310-324,YR-LCC,Tarom,60,3 km N of Bucharest-Otopeni International Airport (OTP),,w/o,,
1 Apr 1995,Antonov An-2,,African Air Charter,1,near Kenema Airport (KEN),,w/o,,
2 Apr 1995,McDonnell Douglas MD-11,N1768D,American Airlines,0,"New York-John F. Kennedy International Airport, NY (JFK/KJFK)",,non,,
4 Apr 1995,Antonov An-26B,RA-26049,Central Region Airlines,0,Palana Airport,,w/o,,
4 Apr 1995,Harbin Y-12-II,OB-1498/333,Transportes AÃ©reos Nacionales de la Selva - TANS,3,near Iquitos Airport (IQT),,w/o,,
6 Apr 1995,Transall C-160NG,F-222/64-GV,L'ArmÃ©e de L'Air,0,near Occhiatana,,w/o,,
7 Apr 1995,Hawker Siddeley HS-125-400,N41953,Jetcraft Corp.,0,Santo Domingo-Herrera Airport (HEX),,w/o,,
8 Apr 1995,Boeing 747-2U3B,PK-GSE,Garuda Indonesia Airways,0,near London-Gatwick Airport (LGW),,min,,
8 Apr 1995,Convair CV-580,HK-3675,SEC Colombia,0,Espinal-Aguablanca Agricultural Airstrip,,w/o,,
11 Apr 1995,Cessna 208A Caravan I,PT-OGO,Transportes AÃ©reos Meridionais - TAM,0,"LuziÃ¢nia Airport, GO",,w/o,,
11 Apr 1995,Boeing 757-223,N683A,American Airlines,0,"San Antonio, TX",,non,,
12 Apr 1995,Beechcraft 200 Super King Air,P2-IAH,Islands Nationair,0,Lae-Nadzab Airport (LAE),,sub,,
13 Apr 1995,Boeing 737-4Y0,EI-CEU,MarkAir,0,"Denver International Airport, CO (DEN)",,sub,,
13 Apr 1995,Aero Modifications AMI C-47TP (DC-3T),ZS-LYW,Wonderair,2,Kikwangala,,w/o,,
13 Apr 1995,Yakovlev Yak-40K,UN-88181,Kazakhstan Airlines,0,Dzhambul Airport (DMB),,sub,,
13 Apr 1995,Antonov An-2R,RA-40845,Cheboksary Aviation Enterprise,0,"Tyugalbuga, Novaya Malykla district",,w/o,,
15 Apr 1995,Tupolev Tu-134A-3,OB-1553,Imperial Air,0,Lima-J Chavez International Airport (LIM),,w/o,,
17 Apr 1995,Douglas C-54G-5-DO (DC-4),N898AL,Brooks Air Fuel,0,"Kivalina Airport, AK (KVL)",,w/o,,
17 Apr 1995,Learjet C-21A (Learjet 35A),84-0136,United States Air Force - USAF,8,"6,5 km E of Alexander City Airport, AL",,w/o,,
19 Apr 1995,Antonov An-2R,SP-WNY,Zakladu Uslug Agrolotniczych - ZUA,,Qom,,w/o,,
19 Apr 1995,McDonnell Douglas MD-82,N83872,Continental Airlines,0,"Utopia, TX",,non,,
21 Apr 1995,Boeing 747-2F6B,N742PR,Philippine Air Lines,0,"15km SE of Sydney-Kingsford Smith International Airport, NSW (SYD)",,sub,,
21 Apr 1995,CASA C-212 Aviocar 200,EB-50,EjÃ©rcito Boliviano,7,near Apolo,,w/o,,
21 Apr 1995,Fokker F-28 Fellowship 4000,PH-CHF,KLM Cityhopper,0,Birmingham Airport (BHX/EGBB),,non,,
22 Apr 1995,Fokker 50,TF-FIR,Icelandair FlugfÃ©lag Islands,0,near HÃºsavÃ­k Airport,,non,,
23 Apr 1995,Fokker F-27 Friendship 200MP,NAF908,Federal Nigerian Air Force,0+1,Lagos-Murtala Muhammed Airport (LOS),,w/o,,
23 Apr 1995,de Havilland Canada DHC-6 Twin Otter 300,5N-AJQ,Bristow Helicopters Nigeria (BHN),1,Lagos-Murtala Muhammed Airport (LOS),,w/o,,
24 Apr 1995,Canadair CC-144A Challenger 601,144613,Canadian Armed Forces,0,"Halifax-Canadian Forces Base Shearwater, NS (YAW)",,w/o,,
24 Apr 1995,Cessna 501 Citation I/SP,N120ES,TACA International Airlines,0,"0,4 km from San Salvador-Comalapa International Airport (SAL)",,w/o,,
26 Apr 1995,Cessna 550Â Citation II,N7RC,Ring Can Corp.,0,Walkers Cay Airport (WKR),,w/o,,
27 Apr 1995,McDonnell Douglas DC-9-83 (MD-83),G-DEVR,Airtours International,0,Manchester International Airport (MAN),,sub,,
27 Apr 1995,IAI 1124Â Westwind,VH-AJS,Pel-Air,3,"9 km NW of Alice Springs Airport, NT (ASP)",,w/o,,
28 Apr 1995,Douglas DC-8-54F,N43UA,"Faucett PerÃº, lsf Millon Air",0+6,Guatemala City-La Aurora Airport (GUA),,w/o,,
28 Apr 1995,British Aerospace BAe-748-334 Srs. 2A,CR835,Sri Lanka Air Force,47,"0,2 km from Jaffna-Palaly AFB (JAF)",,w/o,,
29 Apr 1995,British Aerospace BAe-748-357 Srs. 2B SCD,CR834,Sri Lanka Air Force,50,near Jaffna-Palaly Airport (JAF/VCCJ),,w/o,,
1 May 1995,Boeing 727-21F,HK-1717,Aerosucre Colombia,0,"Taguatinga Airport, TO (QHN)",,sub,,
1 May 1995,CASA/Nurtanio NC-212-AB4 Aviocar 200,PK-NCS,Merpati Nusantara Airlines,0,Naha Airport (NAH),,sub,,
1 May 1995,Fairchild SA227-CC Metro 23,C-GYYB,Bearskin Airlines,3+5,"Sioux Falls, ON",,w/o,,
3 May 1995,Grumman G-1159 Gulfstream II,N409MA,American Jet,7,ca 50 km SSE of Quito-Mariscal Sucre Airport (UIO),,w/o,,
4 May 1995,Antonov An-2,RA-19550,Magnitogorsk ROSTO,3,"1,3 km SSW of Sibay Airport, Bashkortostan",,w/o,,
6 May 1995,Cessna 550 Citation II,N26496,United States Department of Homeland Security,0,Comayagua-Palmerola Air Base (XPL),,sub,,
9 May 1995,Curtiss C-46F-1-CU Commando,HK-3079-G,COINCO - Cooperativa Interregional de Colombia,9,"5,1 km N of Villavicencio-La Vanguardia Airport (VVC)",,w/o,,
9 May 1995,Antonov An-12B,RA-11127,Pulkovo Aviation Enterprise,0,Lukapa Airport (LBZ),,w/o,,
11 May 1995,Lockheed L-100-30 Hercules,PK-PLU,Pelita Air Service,0,Jayapura-Sentani Airport (DJJ),,sub,,
13 May 1995,Lockheed C-130E Hercules,62-1838,United States Air Force - USAF,6,"Bliss Canyon, ID",,w/o,,
15 May 1995,de Havilland Canada C-115 Buffalo (DHC-5),2361,ForÃ§a AÃ©rea Brasileira - FAB,,"Manaus Air Base, AM (PLL)",,w/o,,
16 May 1995,British Aerospace Nimrod R.1P,XW666,Royal Air Force - RAF,0,"7,2 km NE off Lossiemouth",,w/o,,
19 May 1995,Convair CV-580F SCD,EC-899,Swiftair,0,Vitoria Airport (VIT),,w/o,,
19 May 1995,Boeing 737-3T0,N60312,Continental Airlines,0,"Tallahassee, FL",,non,,
22 May 1995,Convair CV-440,CP-2142,SASA - Servicios AÃ©reos Santa Ana,1,San Borja-Capitan G.Q. Guardia Airport (SRJ),,w/o,,
23 May 1995,Learjet 35A,N450MC,Wal-Mart Aviation,0,"Rogers Municipal Airport-Carter Field, AR (ROG)",,sub,,
24 May 1995,Boeing 727-232,N489DA,Delta Air Lines,0,"West Palm Beach International Airport, FL (PBI)",,sub,,
24 May 1995,Embraer EMB-110P1 Bandeirante,G-OEAA,"Knight Air, lsf Euroair",12,10 km NE of Leeds/Bradford Airport (LBA),,w/o,,
25 May 1995,Douglas DC-3C,HK-3213,LACOL Colombia,5,near Miraflores Airport (MFS),,w/o,,
28 May 1995,Boeing 747-467,VR-HOX,Cathay Pacific Airways,0,near Hong Kong-Kai Tak International Airport (HKG),,sub,,
31 May 1995,Fokker F-28 Fellowship 1000,P2-ANB,Air Niugini,0,Madang Airport (MAG),,w/o,,
xx May 1995,Britten-Norman BN-2A-8 Islander,N454CT,Perna Aviation,,,,w/o,,
3 Jun 1995,Boeing 747-238B (SF),N706CK,Kalitta American International Airways,0,Panama City-Tocumen International Airport (PTY/MPTO),,sub,,
3 Jun 1995,Airbus A320-211,N326US,Northwest Airlines,0,"Minneapolis-St. Paul International Airport, MN (MSP)",,sub,,
5 Jun 1995,Lockheed L-100-30 Hercules,N906SJ,Southern Air Transport,0,"Nixon Fork Mine, AK",,sub,,
